frame,gt_count,tp,fp,fn,id_sw,action_taken
227,19,9,14,10,0,0
228,19,9,14,10,0,0
229,17,7,16,10,0,0
230,17,7,17,10,0,0
231,16,6,19,10,0,0
232,17,6,19,11,0,0
233,17,6,20,11,0,0
234,17,6,20,11,0,2
235,17,6,20,11,0,0
236,19,8,18,11,0,0
237,21,8,19,13,0,0
238,21,8,19,13,0,0
239,20,8,19,12,0,0
240,20,8,19,12,0,0
241,21,8,19,13,0,0
242,21,10,17,11,0,0
243,21,12,15,9,0,0
244,21,12,15,9,0,0
245,20,12,15,8,0,0
246,20,11,16,9,0,0
247,20,11,16,9,0,2
248,21,13,14,8,0,0
249,21,13,14,8,0,0
250,21,12,15,9,0,0
251,21,11,15,10,1,0
252,20,11,16,9,0,0
253,19,11,16,8,0,0
254,19,11,17,8,0,0
255,19,10,18,9,0,0
256,19,10,18,9,0,0
257,19,11,17,8,0,0
258,19,10,17,9,1,2
259,19,11,16,8,0,3
260,19,11,16,8,0,0
261,19,11,16,8,0,0
262,19,11,16,8,0,0
263,21,12,15,9,0,0
264,21,12,15,9,0,0
265,22,12,15,10,0,0
266,22,12,15,10,0,0
267,22,13,14,9,0,0
268,20,10,17,10,0,3
269,21,10,17,11,0,0
270,21,10,16,11,1,3
271,22,10,15,12,1,0
272,21,10,15,11,0,0
273,21,9,16,12,0,0
274,21,9,16,12,0,0
275,21,10,15,11,0,0
276,21,10,15,11,0,0
277,21,9,16,12,0,0
278,21,9,16,12,0,0
279,21,9,16,12,0,0
280,20,9,16,11,0,0
281,19,9,16,10,0,0
282,19,10,15,9,0,1
283,20,10,15,10,0,3
284,18,9,16,9,0,0
285,18,9,16,9,0,3
286,18,9,16,9,0,0
287,18,9,15,9,1,0
288,19,9,15,10,0,0
289,19,9,15,10,0,0
290,20,12,12,8,0,0
291,20,12,12,8,0,0
292,19,11,13,8,0,0
293,18,11,13,7,0,0
294,18,11,13,7,0,0
295,18,10,13,8,1,0
296,18,10,15,8,0,0
297,18,10,16,8,0,0
298,17,9,17,8,0,0
299,18,10,16,8,0,0
300,18,10,16,8,0,0
301,18,10,17,8,0,0
302,18,10,17,8,0,0
303,19,10,17,9,0,0
