frame,gt_count,tp,fp,fn,id_sw,action_taken
1,16,0,0,16,0,0
2,16,0,0,16,0,0
3,16,5,9,11,0,0
4,16,5,9,11,0,0
5,16,6,9,10,0,0
6,16,6,9,10,0,0
7,16,6,9,10,0,0
8,17,7,9,10,0,0
9,17,7,10,10,0,0
10,17,7,10,10,0,0
11,17,7,10,10,0,0
12,17,7,10,10,0,0
13,17,7,10,10,0,0
14,17,7,10,10,0,0
15,17,7,10,10,0,0
16,16,6,11,10,0,0
17,16,4,14,12,0,0
18,16,4,15,12,0,0
19,16,4,15,12,0,0
20,16,7,14,9,0,0
21,17,8,13,9,0,0
22,17,8,13,9,0,0
23,17,7,14,10,0,0
24,16,7,14,9,0,0
25,16,7,14,9,0,0
26,16,8,13,8,0,0
27,16,8,13,8,0,0
28,16,7,15,9,0,0
29,16,8,15,8,0,0
30,17,9,14,8,0,0
31,16,9,14,7,0,0
32,17,9,14,8,0,0
33,17,8,15,9,0,0
34,17,8,15,9,0,0
35,17,9,14,8,0,0
36,17,8,15,9,0,0
37,16,7,16,9,0,0
38,16,6,17,10,0,0
39,16,5,18,11,0,0
40,15,6,17,9,0,0
41,15,7,16,8,0,0
42,15,7,16,8,0,0
43,15,7,16,8,0,0
44,15,7,16,8,0,0
45,15,7,16,8,0,0
46,15,6,17,9,0,0
47,15,6,16,9,1,0
48,15,6,16,9,0,0
49,15,7,15,8,0,0
50,15,7,15,8,0,0
51,15,8,14,7,0,0
52,15,8,14,7,0,0
53,15,9,13,6,0,0
54,15,8,14,7,0,0
55,16,8,15,8,0,0
56,16,7,16,9,0,0
57,15,5,18,10,0,0
58,15,6,17,9,0,0
59,15,7,17,8,0,0
60,15,7,17,8,0,0
61,15,7,17,8,0,0
62,14,6,18,8,0,0
63,14,6,19,8,0,0
64,14,6,19,8,0,0
65,15,6,19,9,0,0
66,15,6,19,9,0,0
67,15,6,19,9,0,0
68,15,6,19,9,0,0
69,15,6,19,9,0,0
70,15,6,19,9,0,0
71,15,5,20,10,0,0
72,15,5,20,10,0,0
73,15,6,19,9,0,0
74,15,5,20,10,0,0
75,15,6,19,9,0,0
76,15,6,18,9,1,0
77,16,8,17,8,0,0
78,16,6,19,10,0,0
79,16,5,20,11,0,0
80,16,5,19,11,1,0
81,15,5,19,10,0,0
82,15,6,18,9,0,0
83,15,5,19,10,0,0
84,15,3,21,12,0,0
85,15,3,21,12,0,0
86,15,3,21,12,0,0
87,16,3,21,13,0,0
88,16,3,20,13,1,0
89,16,3,21,13,0,0
90,16,3,21,13,0,0
91,16,4,20,12,0,0
92,16,4,19,12,1,0
93,16,4,19,12,0,0
94,16,4,18,12,1,0
95,16,3,19,13,0,0
96,16,4,18,12,0,0
97,16,4,18,12,0,0
98,16,4,17,12,1,0
99,16,5,16,11,0,0
100,16,5,16,11,0,0
101,17,5,16,12,0,0
102,17,5,17,12,0,0
103,15,5,17,10,0,0
104,15,4,18,11,0,0
105,15,4,17,11,1,0
106,14,6,15,8,0,0
107,14,6,15,8,0,0
108,13,6,16,7,0,0
109,13,6,16,7,0,0
110,13,6,16,7,0,0
111,13,7,15,6,0,0
112,13,8,14,5,0,0
113,12,8,14,4,0,0
114,13,8,14,5,0,0
115,13,8,14,5,0,0
116,13,8,14,5,0,0
117,14,8,14,6,0,0
118,13,8,14,5,0,0
119,13,8,14,5,0,0
120,14,8,14,6,0,0
121,14,8,14,6,0,0
122,13,8,14,5,0,0
123,13,8,14,5,0,0
124,14,8,14,6,0,0
125,13,9,13,4,0,0
126,13,9,13,4,0,0
127,14,8,14,6,0,0
128,14,8,14,6,0,0
129,15,8,14,7,0,0
130,15,7,15,8,0,0
131,14,7,15,7,0,0
132,15,7,15,8,0,0
133,15,7,15,8,0,0
134,17,7,15,10,0,0
135,17,9,14,8,0,0
136,18,8,14,10,1,0
137,17,9,13,8,0,0
138,17,9,14,8,0,0
139,17,8,15,9,0,0
140,17,9,14,8,0,0
141,17,9,14,8,0,0
142,17,8,15,9,0,0
143,17,8,15,9,0,0
144,17,8,15,9,0,0
145,17,8,15,9,0,0
146,16,8,16,8,0,0
147,16,7,17,9,0,0
148,16,10,15,6,0,0
149,15,9,16,6,0,0
150,15,9,16,6,0,0
151,15,9,16,6,0,0
152,15,9,16,6,0,0
153,16,8,17,8,0,0
154,16,8,17,8,0,0
155,17,8,18,9,0,0
156,16,8,18,8,0,0
157,16,7,19,9,0,0
158,15,6,20,9,0,0
159,15,7,19,8,1,0
160,15,8,18,7,0,0
161,14,7,19,7,0,0
162,14,7,19,7,0,0
163,14,7,19,7,0,0
164,14,8,18,6,0,0
165,13,9,17,4,0,0
166,13,8,18,5,0,0
167,13,8,18,5,0,0
168,13,7,18,6,1,0
169,13,7,18,6,0,0
170,13,7,18,6,0,0
171,13,8,16,5,1,0
172,13,8,16,5,0,0
173,12,9,15,3,0,0
174,12,9,15,3,0,0
175,12,8,16,4,0,0
176,13,7,17,6,0,0
177,13,6,17,7,1,0
178,13,6,17,7,0,0
179,13,8,14,5,1,0
180,13,7,15,6,0,0
181,13,8,14,5,0,0
182,14,8,14,6,0,0
183,14,8,13,6,1,0
184,14,6,16,8,0,0
185,14,8,14,6,0,0
186,15,8,13,7,1,0
187,15,9,12,6,0,0
188,16,9,12,7,0,0
189,16,9,12,7,0,0
190,16,9,12,7,0,0
191,16,9,12,7,0,0
192,16,9,12,7,0,0
193,16,10,11,6,0,0
194,16,10,10,6,1,0
195,16,11,8,5,1,0
196,15,10,9,5,0,0
197,15,10,9,5,0,0
198,14,9,10,5,0,0
199,14,9,10,5,0,0
200,14,8,11,6,0,0
201,14,8,11,6,0,0
202,14,8,11,6,0,0
203,14,9,10,5,0,0
204,15,9,10,6,0,0
205,15,9,11,6,0,0
206,15,8,12,7,0,0
207,15,8,12,7,0,0
208,15,8,12,7,0,0
209,13,6,14,7,0,0
210,13,6,14,7,0,0
211,13,6,14,7,0,0
212,13,6,14,7,0,0
213,13,6,14,7,0,0
214,14,7,13,7,0,0
215,14,7,13,7,0,0
216,14,7,13,7,0,0
217,14,7,14,7,0,0
218,15,8,13,7,0,0
219,14,7,14,7,0,0
220,16,8,14,8,0,0
221,16,8,15,8,0,0
222,17,8,15,9,0,0
223,17,8,15,9,0,0
224,17,8,15,9,0,0
225,17,8,15,9,0,0
226,19,7,16,12,0,0
227,19,6,17,13,0,0
228,19,5,18,14,0,0
229,17,6,17,11,0,0
230,17,6,18,11,0,0
231,16,5,19,11,0,0
232,17,5,19,12,0,0
233,17,6,19,11,0,0
234,17,6,19,11,0,0
235,17,5,20,12,0,0
236,19,6,19,13,0,0
237,21,6,20,15,0,0
238,21,7,19,14,0,0
239,20,7,19,13,0,0
240,20,7,19,13,0,0
241,21,8,18,13,0,0
242,21,9,17,12,0,0
243,21,9,17,12,0,0
244,21,11,15,10,0,0
245,20,10,16,10,0,0
246,20,10,16,10,0,0
247,20,10,16,10,0,0
248,21,10,16,11,0,0
249,21,10,16,11,0,0
250,21,10,17,11,0,0
251,21,9,18,12,0,0
252,20,9,19,11,0,0
253,19,9,19,10,1,0
254,19,9,20,10,0,0
255,19,9,20,10,0,0
256,19,9,20,10,0,0
257,19,9,20,10,0,0
258,19,9,20,10,0,0
259,19,10,18,9,1,0
260,19,10,17,9,1,0
261,19,11,16,8,0,0
262,19,11,16,8,0,0
263,21,12,15,9,0,0
264,21,12,15,9,0,0
265,22,12,15,10,0,0
266,22,11,16,11,0,0
267,22,11,16,11,0,0
268,20,11,16,9,0,0
269,21,12,15,9,0,0
270,21,12,16,9,0,0
271,22,10,18,12,0,0
272,21,10,18,11,0,0
273,21,10,18,11,0,0
274,21,9,19,12,0,0
275,21,10,18,11,0,0
276,21,10,18,11,0,0
277,21,9,19,12,0,0
278,21,9,18,12,1,0
279,21,9,18,12,0,0
280,20,9,18,11,0,0
281,19,10,17,9,0,0
282,19,10,17,9,0,0
283,20,10,17,10,0,0
284,18,11,16,7,0,0
285,18,11,16,7,0,0
286,18,10,18,8,0,0
287,18,11,16,7,1,0
288,19,11,16,8,0,0
289,19,10,17,9,0,0
290,20,10,17,10,0,0
291,20,11,16,9,0,0
292,19,10,17,9,0,0
293,18,10,17,8,0,0
294,18,9,18,9,0,0
295,18,9,18,9,0,0
296,18,10,18,8,0,0
297,18,10,18,8,0,0
298,17,9,19,8,0,0
299,18,10,17,8,1,0
300,18,10,17,8,0,0
301,18,10,18,8,0,0
302,18,10,18,8,0,0
303,19,10,18,9,0,0
304,19,10,18,9,0,0
305,19,10,18,9,0,0
306,19,10,18,9,0,0
307,19,10,18,9,0,0
308,19,10,18,9,0,0
309,19,10,19,9,0,0
310,19,11,18,8,0,0
311,19,11,18,8,0,0
312,19,11,18,8,0,0
313,18,11,17,7,1,0
314,18,11,17,7,0,0
315,18,9,18,9,1,0
316,17,10,17,7,0,0
317,17,10,17,7,0,0
318,17,10,17,7,0,0
319,17,10,17,7,0,0
320,17,10,16,7,1,0
321,17,10,16,7,0,0
322,17,9,17,8,0,0
323,16,9,17,7,0,0
324,16,9,17,7,0,0
325,17,9,17,8,0,0
326,17,9,17,8,0,0
327,17,9,18,8,0,0
328,17,7,19,10,1,0
329,17,7,19,10,0,0
330,17,7,19,10,0,0
331,17,7,19,10,0,0
332,17,7,18,10,1,0
333,17,7,17,10,1,0
334,17,7,17,10,0,0
335,18,8,16,10,0,0
336,19,8,16,11,0,0
337,18,7,17,11,0,0
338,18,7,17,11,0,0
339,16,5,18,11,1,0
340,15,6,17,9,0,0
341,15,6,17,9,0,0
342,15,6,17,9,0,0
343,15,6,17,9,0,0
344,15,5,18,10,0,0
345,15,5,18,10,0,0
346,15,5,18,10,0,0
347,15,6,17,9,0,0
348,15,5,18,10,0,0
349,15,6,17,9,0,0
350,15,6,17,9,0,0
351,14,6,17,8,0,0
352,14,6,17,8,0,0
353,15,6,18,9,0,0
354,15,6,18,9,0,0
355,14,5,19,9,0,0
356,13,5,19,8,0,0
357,13,5,19,8,0,0
358,12,4,19,8,1,0
359,12,4,19,8,0,0
360,12,5,19,7,0,0
361,11,5,19,6,0,0
362,11,5,19,6,0,0
363,11,5,19,6,0,0
364,11,5,19,6,0,0
365,12,5,19,7,0,0
366,11,5,19,6,0,0
367,11,5,19,6,0,0
368,11,5,19,6,0,0
369,11,6,17,5,1,0
370,11,6,16,5,1,0
371,12,6,15,6,1,0
372,12,6,15,6,0,0
373,12,6,15,6,0,0
374,11,6,15,5,0,0
375,11,5,16,6,0,0
376,12,5,16,7,0,0
377,11,5,16,6,0,0
