frame,gt_count,tp,fp,fn,id_sw,action_taken
1,38,0,0,38,0,0
2,38,0,0,38,0,1
3,37,16,7,21,0,2
4,36,16,7,20,0,0
5,36,16,8,20,0,0
6,36,16,8,20,0,0
7,36,15,9,21,0,0
8,36,16,8,20,0,0
9,36,16,8,20,0,0
10,36,16,9,20,0,0
11,36,16,9,20,0,0
12,36,16,9,20,0,0
13,36,17,9,19,0,0
14,35,18,11,17,0,0
15,35,19,10,16,0,3
16,35,19,10,16,0,3
17,34,19,10,15,0,3
18,34,18,11,16,0,3
19,34,19,10,15,0,2
20,35,18,11,17,0,3
21,35,18,11,17,0,0
22,36,19,11,17,0,3
23,36,19,11,17,0,1
24,36,20,10,16,0,3
25,36,21,9,15,0,0
26,36,20,10,16,0,0
27,37,20,10,17,0,3
28,37,21,10,16,0,3
29,37,21,10,16,0,3
30,37,20,11,17,0,3
31,35,18,13,17,0,0
32,35,19,12,16,0,3
33,35,19,12,16,0,1
34,35,19,12,16,0,3
35,35,18,13,17,0,0
36,35,17,15,18,0,3
37,35,18,15,17,0,1
38,35,18,15,17,0,3
39,34,17,16,17,0,3
40,34,17,16,17,0,3
41,34,18,15,16,0,3
42,34,20,13,14,0,0
43,33,19,14,14,0,0
44,33,19,13,14,1,0
45,33,19,13,14,0,0
46,34,20,12,14,0,3
47,34,19,13,15,0,0
48,34,20,12,14,0,3
49,34,20,12,14,0,0
50,35,21,11,14,0,3
51,33,21,11,12,0,3
52,33,20,11,13,1,1
53,33,20,11,13,0,3
54,34,20,11,14,0,0
55,33,20,11,13,0,0
56,34,20,11,14,0,0
57,32,20,11,12,0,0
58,33,19,12,14,0,0
59,34,19,12,15,0,0
60,33,19,12,14,0,0
61,33,19,11,14,1,0
62,33,20,10,13,0,3
63,33,21,9,12,0,0
64,33,21,9,12,0,2
65,33,19,11,14,0,2
66,33,20,10,13,0,3
67,33,19,11,14,0,0
68,34,20,10,14,0,3
69,34,19,9,15,2,3
70,34,18,10,16,0,3
71,35,19,9,16,0,3
72,34,19,9,15,0,3
73,34,20,8,14,0,3
74,34,19,9,15,0,3
75,34,20,7,14,1,3
76,34,19,8,15,0,3
77,35,19,8,16,0,3
78,35,19,8,16,0,0
79,35,19,8,16,0,0
80,35,19,8,16,0,3
81,34,19,8,15,0,1
