frame,gt_count,tp,fp,fn,id_sw,action_taken
1,5,0,0,5,0,1
2,5,0,0,5,0,1
3,6,4,4,2,0,3
4,6,4,4,2,0,1
5,6,4,4,2,0,0
6,6,4,4,2,0,0
7,6,4,5,2,0,0
8,6,4,5,2,0,0
9,6,4,5,2,0,0
10,6,4,6,2,0,0
11,6,4,6,2,0,0
12,6,4,6,2,0,0
13,6,4,6,2,0,0
14,6,4,7,2,0,0
15,6,4,7,2,0,0
16,6,4,9,2,0,0
17,6,4,9,2,0,0
18,6,4,9,2,0,0
19,6,4,9,2,0,0
20,6,4,9,2,0,0
21,6,4,9,2,0,0
22,6,4,9,2,0,0
23,6,4,9,2,0,0
24,6,4,9,2,0,0
25,6,4,9,2,0,0
26,6,4,9,2,0,0
27,6,5,8,1,0,0
28,6,5,8,1,0,3
29,6,5,8,1,0,2
30,5,4,9,1,0,0
31,5,5,8,0,0,0
32,5,5,8,0,0,0
33,5,5,8,0,0,0
34,5,5,8,0,0,0
35,5,5,8,0,0,2
36,5,5,8,0,0,0
37,5,5,8,0,0,0
38,5,5,8,0,0,1
39,5,5,9,0,0,0
40,5,5,10,0,0,0
41,5,5,10,0,0,1
42,5,5,10,0,0,0
43,5,5,10,0,0,2
44,5,5,10,0,0,0
45,5,5,10,0,0,0
46,6,5,10,1,0,0
47,6,5,10,1,0,0
48,6,5,10,1,0,0
49,5,5,10,0,0,0
50,6,6,9,0,0,1
51,6,6,9,0,0,0
52,6,6,9,0,0,0
53,6,6,9,0,0,0
54,6,6,9,0,0,0
55,7,7,8,0,0,0
56,7,7,7,0,1,0
57,7,6,8,1,0,0
58,7,6,8,1,0,0
59,7,6,8,1,0,0
60,7,6,9,1,0,0
61,6,6,9,0,0,0
62,7,6,9,1,0,0
63,7,6,10,1,0,0
64,7,7,9,0,0,0
65,7,7,9,0,0,0
66,7,7,9,0,0,0
67,7,7,9,0,0,0
68,7,7,9,0,0,0
69,7,7,9,0,0,0
70,7,7,9,0,0,0
71,7,7,9,0,0,0
72,7,7,9,0,0,0
73,7,7,9,0,0,0
74,7,7,9,0,0,0
75,7,7,9,0,0,0
76,8,7,9,1,0,0
77,8,7,9,1,0,0
78,8,7,9,1,0,0
79,8,7,9,1,0,0
