frame,gt_count,tp,fp,fn,id_sw,action_taken
1,38,0,0,38,0,3
2,38,0,0,38,0,3
3,37,17,7,20,0,3
4,36,17,7,19,0,2
5,36,17,8,19,0,0
6,36,17,8,19,0,0
7,36,17,8,19,0,0
8,36,17,8,19,0,3
9,36,17,8,19,0,3
10,36,17,8,19,0,0
11,36,17,8,19,0,0
12,36,17,8,19,0,0
13,36,18,8,18,0,0
14,35,18,10,17,0,0
15,35,19,10,16,0,3
16,35,20,9,15,0,3
17,34,20,9,14,0,3
18,34,19,10,15,0,3
19,34,20,9,14,0,0
20,35,20,9,15,0,0
21,35,20,9,15,0,3
22,36,20,9,16,0,0
23,36,19,10,17,0,1
24,36,20,9,16,0,1
25,36,20,9,16,0,3
26,36,20,10,16,0,0
27,37,21,9,16,0,0
28,37,21,10,16,0,0
29,37,19,12,18,0,1
30,37,19,12,18,0,3
31,35,18,13,17,0,3
32,35,18,13,17,0,3
33,35,18,13,17,0,0
34,35,17,14,18,0,3
35,35,19,12,16,0,3
36,35,18,14,17,0,2
37,35,18,14,17,0,2
38,35,18,14,17,0,1
39,34,17,15,17,0,3
40,34,17,15,17,0,3
41,34,19,13,15,0,0
42,34,19,13,15,0,0
43,33,20,13,13,0,0
44,33,19,13,14,1,3
45,33,17,14,16,1,0
46,34,18,13,16,0,2
47,34,19,12,15,0,3
48,34,19,12,15,0,3
49,34,19,12,15,0,1
50,35,21,11,14,0,3
51,33,21,11,12,0,3
52,33,21,10,12,1,3
53,33,21,10,12,0,3
54,34,21,10,13,1,3
55,33,20,11,13,0,0
56,34,21,10,13,0,0
57,32,20,11,12,0,3
58,33,20,11,13,0,3
59,34,19,12,15,0,3
60,33,19,12,14,0,3
61,33,18,13,15,0,3
62,33,20,11,13,0,3
63,33,20,11,13,0,0
64,33,19,12,14,0,1
65,33,19,12,14,0,3
66,33,21,10,12,0,3
67,33,20,11,13,0,3
68,34,21,10,13,0,2
69,34,21,9,13,1,3
70,34,20,10,14,0,3
71,35,20,10,15,0,0
72,34,20,10,14,0,3
73,34,20,9,14,1,3
