frame,conf_vel,kf_residual,feat_dist,reward,id_switches
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,-129.0,26
3,-0.07988817244768143,4.49420166015625,0.0,1.0,0
4,-0.06442467123270035,5.018603801727295,0.0,1.0,0
5,-0.011261748149991035,5.644850254058838,0.0,1.0,0
6,-0.2183113396167755,4.273165702819824,0.0,-4.0,1
7,-0.0001967481803148985,6.134281635284424,0.0,1.0,0
8,-0.21631285548210144,10.149927139282227,0.0,1.0,0
9,-0.00019665736181195825,4.2717790603637695,0.0,1.0,0
10,0.0,4.1582159996032715,0.0,1.0,0
11,-0.21381542086601257,4.2296929359436035,0.0,1.0,0
12,-0.00019665736181195825,3.99635648727417,0.0,1.0,0
13,-0.0009846483590081334,3.695037841796875,0.0,1.0,0
14,-0.20234021544456482,4.665590286254883,0.0,1.0,0
15,-0.07698371261358261,4.427184581756592,0.0,1.0,0
16,-0.6396856307983398,5.474747180938721,0.0,-4.0,1
17,-0.06262806057929993,5.6064300537109375,0.0,1.0,0
18,-0.1923859715461731,4.884765625,0.0,1.0,0
19,-0.00236696214415133,4.269138336181641,0.0,1.0,0
20,-0.04475778341293335,4.107787609100342,0.0,1.0,0
21,-0.1475505530834198,3.4736928939819336,0.0,1.0,0
22,0.0,3.7703397274017334,0.0,1.0,0
23,-0.21836452186107635,4.672519207000732,0.0,1.0,0
24,-0.00019665736181195825,4.714670181274414,0.0,1.0,0
25,-0.00039358713547699153,3.3757383823394775,0.0,1.0,0
26,-0.00019665736181195825,4.528355121612549,0.0,1.0,0
27,-0.00019683896971400827,3.2724545001983643,0.0,1.0,0
28,-0.09785151481628418,25.07097625732422,0.0,1.0,0
29,0.0,3.4962401390075684,0.0,1.0,0
30,-0.00019665736181195825,3.999387264251709,0.0,1.0,0
31,-0.00019665736181195825,4.448637008666992,0.0,1.0,0
32,0.0,4.646832466125488,0.0,1.0,0
33,-0.00019665736181195825,5.732247352600098,0.0,1.0,0
34,-0.0019706562161445618,5.016468048095703,0.0,1.0,0
35,-0.003968424629420042,5.349392414093018,0.0,1.0,0
36,-0.18023471534252167,96.56271362304688,0.0,1.0,0
37,-0.5508238673210144,4.75529146194458,0.0,0.9642857142857143,0
38,-0.07685477286577225,5.900104522705078,0.0,1.0,0
39,-0.6424468159675598,6.665277004241943,0.0,1.0,0
40,-0.00019665736181195825,5.057971000671387,0.0,-4.0,1
41,0.0,3.913555860519409,0.0,1.0,0
42,0.0,3.611421823501587,0.0,1.0,0
43,-0.00019665736181195825,4.780694484710693,0.0,-4.0,1
44,0.0,3.9932920932769775,0.0,1.0,0
45,-0.0009846483590081334,4.797183513641357,0.0,-4.0,1
46,-0.0018654052400961518,4.772543430328369,0.0,0.9666666666666667,0
47,-0.00019683896971400827,5.039092063903809,0.0,1.0,0
48,-0.0039557889103889465,5.127227783203125,0.0,1.0,0
49,-0.20452673733234406,5.47235107421875,0.0,0.9655172413793104,0
